date,open,high,low,close,volume,amount
2026-01-08,1390.42,1390.45,1375.58,1379.65,2913454.0,4117925041.0
2026-01-09,1384.24,1395.57,1383.27,1386.29,2984774.0,4243865418.0
2026-01-12,1386.29,1397.91,1384.34,1390.32,3608266.0,5135636033.0
2026-01-13,1393.8,1396.47,1376.41,1378.38,3916866.0,5555633779.0
2026-01-14,1378.38,1389.37,1363.9,1365.69,5175797.0,7285041159.0
2026-01-15,1363.74,1370.4,1356.48,1356.78,4090714.0,5698739671.0
2026-01-16,1362.75,1365.19,1348.09,1350.05,5512068.0,7643061998.0
2026-01-19,1349.95,1355.41,1343.21,1344.19,4228640.0,5833745442.0
2026-01-20,1347.61,1349.64,1340.33,1341.79,3648443.0,5021900765.0
2026-01-21,1341.8,1342.62,1318.79,1319.82,6451625.0,8775880803.0
2026-01-22,1320.75,1330.28,1306.56,1309.08,5901089.0,7962441434.0
2026-01-23,1309.12,1316.83,1301.66,1306.09,6194890.0,8301311489.0
2026-01-26,1309.52,1323.67,1294.48,1310.97,8016606.0,10751225525.0
2026-01-27,1313.88,1322.4,1307.06,1311.96,4841596.0,6514513216.0
2026-01-28,1311.99,1315.57,1291.44,1293.09,7621801.0,10135019524.0
2026-01-29,1304.13,1411.59,1298.33,1404.48,18953440.0,26305591086.0
2026-01-30,1401.82,1401.82,1368.61,1368.61,9447974.0,13366329414.0
2026-02-02,1392.05,1424.86,1378.98,1394.01,8572427.0,12312646443.0
2026-02-03,1411.59,1442.67,1409.67,1440.82,8632066.0,12628439703.0
2026-02-04,1450.67,1497.82,1439.92,1489.74,10912293.0,16444345980.0
2026-02-05,1484.86,1528.82,1479.97,1519.05,9162274.0,14183456476.0
2026-02-06,1519.05,1531.75,1471.06,1479.98,7896538.0,12019878669.0
2026-02-09,1482.9,1507.21,1478.5,1489.7,5116846.0,7809067705.0
2026-02-10,1489.71,1489.71,1461.9,1470.01,3957596.0,5953269321.0
2026-02-11,1470.01,1479.0,1461.41,1469.55,3092846.0,4648360030.0
2026-02-12,1465.51,1468.07,1439.3,1452.23,4624582.0,6874370113.0
2026-02-13,1452.23,1472.94,1436.58,1450.96,4167901.0,6216379203.0
2026-02-24,1485.83,1489.16,1429.76,1432.89,4191253.0,6198840572.0
2026-02-25,1436.01,1474.76,1433.94,1457.17,3688067.0,5490316149.0
2026-02-26,1452.23,1455.05,1430.81,1432.31,3295801.0,4855471430.0
2026-02-27,1433.07,1442.08,1421.38,1421.38,3216016.0,4697692477.0
2026-03-02,1416.48,1423.31,1403.44,1406.81,3545386.0,5115063511.0
2026-03-03,1406.8,1419.28,1389.25,1393.22,4589086.0,6565381648.0
2026-03-04,1382.28,1390.1,1359.9,1368.78,4801443.0,6743267103.0
2026-03-05,1373.49,1380.29,1362.75,1366.69,3050524.0,4276226062.0
2026-03-06,1362.75,1374.96,1355.91,1369.59,2915415.0,4072328833.0
2026-03-09,1357.86,1372.42,1351.22,1364.7,3744162.0,5220095639.0
2026-03-10,1372.42,1376.9,1365.68,1369.47,2462592.0,3457808916.0
2026-03-11,1370.55,1373.48,1365.7,1367.63,2445673.0,3425363892.0
2026-03-12,1362.75,1371.49,1358.85,1359.82,2758646.0,3850521717.0
2026-03-13,1360.29,1384.84,1359.82,1380.96,3360783.0,4738808558.0
2026-03-16,1387.17,1432.11,1387.17,1426.42,6008635.0,8711525836.0
2026-03-17,1434.06,1463.43,1427.41,1450.67,4945361.0,7347310632.0
2026-03-18,1454.57,1461.9,1429.32,1434.84,3555100.0,5239992522.0
2026-03-19,1438.9,1438.94,1412.57,1419.28,3031859.0,4404953481.0
2026-03-20,1419.37,1428.69,1405.73,1411.59,2613234.0,3782818260.0
2026-03-23,1400.19,1401.82,1367.66,1375.51,4725589.0,6669708665.0
2026-03-24,1383.26,1384.81,1367.81,1374.79,2856179.0,4017694387.0
2026-03-25,1377.51,1385.09,1368.62,1377.66,2609346.0,3677905549.0
2026-03-26,1376.42,1381.21,1367.92,1368.78,2309289.0,3243387502.0
2026-03-27,1367.63,1393.03,1364.37,1383.28,3008711.0,4257499781.0
2026-03-30,1374.47,1397.91,1370.09,1387.17,2868459.0,4060684934.0
2026-03-31,1434.06,1445.71,1414.92,1416.48,6169066.0,9015486797.0
2026-04-01,1430.63,1436.0,1419.29,1425.7,2912514.0,4256185472.0
2026-04-02,1425.7,1431.01,1418.53,1426.13,2106437.0,3071809846.0
2026-04-03,1425.79,1435.97,1421.36,1426.24,2019373.0,2953993081.0
2026-04-07,1426.29,1436.01,1401.87,1406.73,2415218.0,3507471653.0
2026-04-08,1426.24,1435.11,1418.56,1431.15,3383610.0,4947937007.0
2026-04-09,1431.15,1431.15,1414.03,1426.72,2070476.0,3012278579.0
2026-04-10,1425.4,1425.96,1407.78,1420.34,2886556.0,4187181529.0
2026-04-13,1410.61,1413.06,1399.87,1409.94,2521364.0,3629675490.0
2026-04-14,1409.25,1415.11,1401.82,1413.45,2423261.0,3492544230.0
2026-04-15,1411.57,1436.78,1408.66,1433.57,3455348.0,5049317187.0
2026-04-16,1433.52,1443.25,1426.24,1429.02,2451284.0,3597294838.0
2026-04-17,1367.63,1388.15,1367.5,1374.7,9682499.0,13631929446.0
2026-04-20,1370.56,1381.25,1367.63,1378.27,3645139.0,5127146041.0
2026-04-21,1378.38,1387.07,1377.4,1379.36,2175427.0,3074595192.0
2026-04-22,1382.28,1386.19,1372.5,1376.91,2691593.0,3793827534.0
2026-04-23,1375.45,1386.88,1372.61,1386.19,3770109.0,5332831151.0
2026-04-24,1380.43,1425.15,1380.43,1424.77,5545531.0,8003410999.0
2026-04-27,1387.17,1387.17,1369.78,1370.76,7279774.0,10239763452.0
2026-04-28,1369.59,1376.8,1367.74,1372.52,3400442.0,4772513712.0
2026-04-29,1372.52,1377.16,1367.9,1368.77,3481313.0,4881691348.0
2026-04-30,1367.63,1368.77,1348.09,1352.77,5275267.0,7316111748.0
2026-05-06,1333.54,1347.12,1328.61,1343.21,4780604.0,6550750940.0
2026-05-07,1343.21,1355.91,1338.33,1339.35,4046147.0,5573286315.0
2026-05-08,1339.95,1350.8,1338.33,1341.25,3336853.0,4582855939.0
2026-05-11,1341.15,1341.15,1329.53,1329.86,5713510.0,7790721392.0
2026-05-12,1330.51,1332.05,1319.28,1323.23,5083743.0,6886304982.0
2026-05-13,1323.18,1327.19,1307.06,1313.01,5696787.0,7653257144.0
2026-05-14,1307.06,1337.41,1304.31,1311.14,5524434.0,7428592859.0
2026-05-15,1304.28,1308.32,1296.43,1302.13,5818365.0,7749366540.0
2026-05-18,1305.11,1311.64,1289.1,1292.41,4966097.0,6594983723.0
